Age,Salary
0.04166666666666663,0.02777777777777779
1.0,1.0
0.375,0.4444444444444444
0.5,0.375
0.5833333333333333,0.4722222222222221
0.7916666666666665,0.8611111111111112
0.20833333333333326,0.2777777777777778
0.45833333333333326,0.4722222222222221
0.33333333333333326,0.33333333333333326
0.5,0.7916666666666667
0.7083333333333333,0.7083333333333333
0.25,0.3055555555555556
0.5,0.5555555555555556
0.625,0.4722222222222221
0.4166666666666665,0.4722222222222221
0.125,0.16666666666666663
0.875,0.9305555555555556
0.75,0.75
0.5416666666666665,0.5972222222222221
0.6666666666666665,0.6666666666666667
0.08333333333333326,0.09722222222222221
0.9583333333333333,0.4722222222222221
0.16666666666666652,0.23611111111111105
0.9166666666666665,0.8888888888888888
0.0,0.0
